name,gitUrl,commitID,repoName,clone,pomExist,hasHierarchicalPom,lastCommitDate
fridujo:rabbitmq-mock,https://github.com/fridujo/rabbitmq-mock.git,54ace0e2b0ad4f2b079a773723b5322bc5099adb,rabbitmq-mock,true,true,true,
PhantomThief:model-view-builder,https://github.com/PhantomThief/model-view-builder.git,835417ad9c8e7677610010569f281d2f8b341e16,model-view-builder,true,true,false,2022-02-23 16:28:41 +0800
highj:highj,https://github.com/highj/highj.git,2e18c459904833ef4928558859193c8c9ea54927,highj,true,true,false,2022-04-16 18:25:27 +0200
github:maven-plugins,https://github.com/github/maven-plugins.git,8d6d49393d1453be709ecc4cfe87f41f2081f5c5,maven-plugins,true,true,true,
jingweno:gaffer,https://github.com/jingweno/gaffer.git,5704f4de1d438cc6527f7f4b5a439940607ccd54,gaffer,true,true,false,2015-05-07 11:49:56 -0700
mojohaus:appassembler,https://github.com/mojohaus/appassembler.git,16e6664fb0b11cc040383bc7cf22c51ac7c9a831,appassembler,true,true,true,
geckoboard-java-api:highchart-java-api,https://github.com/geckoboard-java-api/highchart-java-api.git,,highchart-java-api,false,false,true,
strepsirrhini-army:chaos-lemur,https://github.com/strepsirrhini-army/chaos-lemur.git,b496cd5083feae742b110f67bf5deedbd90938c2,chaos-lemur,true,true,false,2018-08-10 13:59:33 -0700
petterobam:mds2index.html,https://github.com/petterobam/mds2index.html.git,2758730f51895a6e5db6a3c043844e0c258abf21,mds2index.html,true,true,false,2021-07-07 23:04:48 +0800
fivesmallq:web-data-extractor,https://github.com/fivesmallq/web-data-extractor.git,c2a12c84080e56121d85fa2fa5cd19ec48a82bb9,web-data-extractor,true,true,false,2022-09-02 17:44:43 +0800
sangupta:bloomfilter,https://github.com/sangupta/bloomfilter.git,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e,bloomfilter,true,true,false,2022-04-21 22:05:11 -0700
apache:commons-dbcp,https://github.com/apache/commons-dbcp.git,70d1d3942bf8beacf3777cfc976c0d2d03fa8777,commons-dbcp,true,true,false,2024-05-24 06:58:51 -0400
indexiatech:antiquity,https://github.com/indexiatech/antiquity.git,4f5cec3256fe78296ea4637bdc89c27a392e07d5,antiquity,true,true,false,2014-08-14 22:36:24 +0300
making:spring-boot-blank,https://github.com/making/spring-boot-blank.git,f70b3fee54d2f5b457786f680543da1d297979df,spring-boot-blank,true,true,false,2015-10-17 17:51:12 +0900
teamed:qulice,https://github.com/teamed/qulice.git,0a7d3a5392708a248bb737d9ef4e9fd2f62dae4a,qulice,true,true,true,
jenkinsci:java-client-api,https://github.com/jenkinsci/java-client-api.git,ddf6a850beacf79480280c0c3c067bf73d84bca5,java-client-api,true,true,true,
fizzed:stork,https://github.com/fizzed/stork.git,e6b50142333aa099f7414adff788cecdf1fee75e,stork,true,true,true,
beijunyi:ParallelGit,https://github.com/beijunyi/ParallelGit.git,8c09df9b67e8a309dc7ce640ff22abcbc8c75366,ParallelGit,true,true,true,
peterchenhdu:tankbattle,https://github.com/peterchenhdu/tankbattle.git,a6b5bc4187af57ebb72c0e2515e49cadf6c39cd4,tankbattle,true,true,false,2021-01-04 16:58:22 +0800
takezoe:xlsbeans,https://github.com/takezoe/xlsbeans.git,ff1565d59f61212f6c0ad6dbce2634aec4248fe2,xlsbeans,true,true,false,2020-10-16 10:24:54 +0900
DaanVanYperen:artemis-odb-contrib,https://github.com/DaanVanYperen/artemis-odb-contrib.git,26df3fa19c58bcc6edfecbf400fc57b7f18c85e5,artemis-odb-contrib,true,true,true,
danielwegener:logback-kafka-appender,https://github.com/danielwegener/logback-kafka-appender.git,e7fc2cda394804693ef991390dc0f544542c35f7,logback-kafka-appender,true,true,false,2022-05-27 08:53:02 +0200
houbb:opencc4j,https://github.com/houbb/opencc4j.git,59c788db85da8ce085e1deb478c9d4bda44c95a7,opencc4j,true,true,false,2023-06-07 12:37:37 +0800
USCDataScience:sparkler,https://github.com/USCDataScience/sparkler.git,547b01087ef00ed6c39e527566712a1a85b64499,sparkler,true,false,true,
dogecoin:libdohj,https://github.com/dogecoin/libdohj.git,3dd6d7548843fe1891366e0325a05587eb21d1aa,libdohj,true,false,true,
mycila:pubsub,https://github.com/mycila/pubsub.git,799ed85542c7e4830a94efac9279bbd40ba893fa,pubsub,true,true,false,2023-11-06 16:30:53 +0100
knowm:dropwizard-sundial,https://github.com/knowm/dropwizard-sundial.git,8c78f9c300624e0669603f51e016ff8f32c9126c,dropwizard-sundial,true,true,false,2024-04-18 23:03:45 +0200
paypal:resteasy-spring-boot,https://github.com/paypal/resteasy-spring-boot.git,47d2f8a9a0d4869dc11f32c4adc3b48ee0d9eb4c,resteasy-spring-boot,true,true,true,
valid4j:valid4j,https://github.com/valid4j/valid4j.git,2f3dd5e5ed0cc61bfbd08106f081891dd6fc0d3a,valid4j,true,true,false,2016-01-14 20:08:16 +0100
Fundynamic:dune2themaker4j,https://github.com/Fundynamic/dune2themaker4j.git,6c458fd85dcb0d0a761164db245ff36f0f98130b,dune2themaker4j,true,true,false,2020-11-16 19:54:23 +0100
constretto:constretto-core,https://github.com/constretto/constretto-core.git,73c9351642ef523c8f64eac999e1e6ef5a87e0d9,constretto-core,true,true,true,
ihaolin:wechat,https://github.com/ihaolin/wechat.git,57867a063a4fcb54fd3772443a5ab2bc2a09ff9e,wechat,true,true,false,2019-05-01 11:57:26 +0800
ashish-chopra:Structures,https://github.com/ashish-chopra/Structures.git,ce0a8f131568368bec3110f4ffddcb74d0b9ca0f,Structures,true,true,false,2019-08-02 15:33:54 -0700
javabeanz:owasp-security-logging,https://github.com/javabeanz/owasp-security-logging.git,ed214c9b91c699e6b6165f28900d47cb92d97362,owasp-security-logging,true,true,true,
lviggiano:owner,https://github.com/lviggiano/owner.git,91cc6de0160a9a20204d511167be44264c40ca14,owner,true,true,true,
nutzam:nutzboot,https://github.com/nutzam/nutzboot.git,cdb7c8e14077bb1873acc778672c424ae0bbda2e,nutzboot,true,true,true,
jcgay:send-notification,https://github.com/jcgay/send-notification.git,6e15f0410cedcd77f247c141eafc4ff804cd21ac,send-notification,true,true,true,
