name,gitUrl,commitID,repoName
anthonyu:KeptCollections,https://github.com/anthonyu/KeptCollections.git,d235163,KeptCollections
smartcat-labs:berserker,https://github.com/smartcat-labs/berserker.git,1019462,berserker
panda-lang:light,https://github.com/panda-lang/light.git,0e71e69,light
tennaito:rsql-jpa,https://github.com/tennaito/rsql-jpa.git,7458a9e,rsql-jpa
graphhopper:jsprit,https://github.com/graphhopper/jsprit.git,74c3c683,jsprit
astrapi69:jgeohash,https://github.com/astrapi69/jgeohash.git,083f5fe,jgeohash
zhicwu:cassandra-jdbc-driver,https://github.com/zhicwu/cassandra-jdbc-driver.git,0950534,cassandra-jdbc-driver
bonnyfone:vectalign,https://github.com/bonnyfone/vectalign.git,3393c5e,vectalign
lpradel:steam-web-api-java,https://github.com/lpradel/steam-web-api-java.git,6299bf2,steam-web-api-java
JOML-CI:JOML,https://github.com/JOML-CI/JOML.git,749a03f6,JOML
fizzed:rocker,https://github.com/fizzed/rocker.git,8b73c49,rocker
iMouseWu:limiter,https://github.com/iMouseWu/limiter.git,b647063,limiter
codelion:gramtest,https://github.com/codelion/gramtest.git,74c14fb,gramtest
Nepxion:Skeleton,https://github.com/Nepxion/Skeleton.git,07f67f4,Skeleton
domaframework:doma-spring-boot,https://github.com/domaframework/doma-spring-boot.git,8740ce8,doma-spring-boot
jenkinsci:ansicolor-plugin,https://github.com/jenkinsci/ansicolor-plugin.git,bb959c3,ansicolor-plugin
GameUnion:ServerCore,https://github.com/GameUnion/ServerCore.git,3edd57b,ServerCore
damianszczepanik:cucumber-reporting,https://github.com/damianszczepanik/cucumber-reporting.git,b56fd08,cucumber-reporting
martinpaljak:apdu4j,https://github.com/martinpaljak/apdu4j.git,dad558c,apdu4j
super-csv:super-csv,https://github.com/super-csv/super-csv.git,f18db72,super-csv
wultra:powerauth-crypto,https://github.com/wultra/powerauth-crypto.git,b749ba7,powerauth-crypto
zhihuili:flower,https://github.com/zhihuili/flower.git,189b17d,flower
patrickfav:indoor-positioning,https://github.com/patrickfav/indoor-positioning.git,65417d5,indoor-positioning
Kotlin:kotlinx-lincheck,https://github.com/Kotlin/kotlinx-lincheck.git,ceb2526,kotlinx-lincheck
jirutka:validator-collection,https://github.com/jirutka/validator-collection.git,df45b07,validator-collection
easymock:easymock,https://github.com/easymock/easymock.git,45bbfb1a,easymock
vidageek:crawler,https://github.com/vidageek/crawler.git,21b953b,crawler
baomidou:mybatis-plus-samples,https://github.com/baomidou/mybatis-plus-samples.git,7a8f2fe,mybatis-plus-samples
vbauer:jconditions,https://github.com/vbauer/jconditions.git,c5816a8,jconditions
OpenNMS:newts,https://github.com/OpenNMS/newts.git,6220137,newts
cardillo:joinery,https://github.com/cardillo/joinery.git,026a7f9,joinery
logstash:log4j-jsonevent-layout,https://github.com/logstash/log4j-jsonevent-layout.git,6fe6dcd,log4j-jsonevent-layout
zhoutaoo:SpringCloud,https://github.com/zhoutaoo/SpringCloud.git,e76c960,SpringCloud
sofastack:sofa-common-tools,https://github.com/sofastack/sofa-common-tools.git,1e61e64,sofa-common-tools
eBay:jsonex,https://github.com/eBay/jsonex.git,6003a78,jsonex
arnaudroger:SimpleFlatMapper,https://github.com/arnaudroger/SimpleFlatMapper.git,3c820a1b4,SimpleFlatMapper
vert-x3:vertx-codegen,https://github.com/vert-x3/vertx-codegen.git,c78e973,vertx-codegen
harishreedharan:usingflumecode,https://github.com/harishreedharan/usingflumecode.git,dd02721,usingflumecode
apache:opennlp,https://github.com/apache/opennlp.git,33f37900,opennlp
salesforce:dockerfile-image-update,https://github.com/salesforce/dockerfile-image-update.git,5ca0342,dockerfile-image-update
jfaster:mango,https://github.com/jfaster/mango.git,b2605fd,mango
MoriTanosuke:glacieruploader,https://github.com/MoriTanosuke/glacieruploader.git,291f5b1,glacieruploader
java-diff-utils:java-diff-utils,https://github.com/java-diff-utils/java-diff-utils.git,17eced9,java-diff-utils
binarywang:java-testdata-generator,https://github.com/binarywang/java-testdata-generator.git,16b05fb,java-testdata-generator
daniel-cottone:Cerberus,https://github.com/daniel-cottone/Cerberus.git,0db4336,Cerberus
syhily:elasticsearch-jdbc,https://github.com/syhily/elasticsearch-jdbc.git,3c128c5,elasticsearch-jdbc
artsok:rerunner-jupiter,https://github.com/artsok/rerunner-jupiter.git,b789c87,rerunner-jupiter
knowm:XChart,https://github.com/knowm/XChart.git,63a452fb,XChart
