release1,release2,value
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.99.Final,11.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.100.Final,12.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.39.Final,101.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.94.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.92.Final,10.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.84.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.79.Final,3.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.99.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.106.Final,12.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.107.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.107.Final,12.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.79.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.89.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.95.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.101.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.75.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.51.Final,3.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.106.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.43.Final,100.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.101.Final,12.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.108.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.93.Final,10.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.87.Final,6.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.17.Final,128.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.97.Final,11.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.5.Final,10.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.100.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.94.Final,11.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.87.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.104.Final,12.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.90.Final,8.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.97.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.93.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.92.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.104.Final,0.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.43.Final,4.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.17.Final,6.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.100.Final,3.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.95.Final,11.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.5.Final,157.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.86.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.97.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.89.Final,0.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.87.Final,0.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.104.Final,3.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.100.Final,6.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.94.Final,9.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.93.Final,1.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.92.Final,3.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.84.Final,3.0
